t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-301.176,200.000,-558.168,0,0,0,0,11,0,0.000
0.400,-301.176,200.000,-554.172,0,0,0,0,11,0,3.996
0.800,-301.176,200.000,-550.164,0,0,0,0,11,0,8.004
1.200,-301.176,200.000,-546.168,0,0,0,0,11,0,12.000
1.600,-301.176,200.000,-542.172,0,0,0,0,11,0,15.997
2.000,-301.176,200.000,-538.164,0,0,0,0,11,0,20.004
2.400,-301.176,200.000,-534.168,0,0,0,0,11,0,24.001
2.800,-301.176,200.000,-530.171,0,0,0,0,11,0,27.997
3.200,-301.176,200.000,-526.164,0,0,0,0,11,0,32.004
3.600,-301.176,200.000,-522.167,0,0,0,0,11,0,36.001
4.000,-301.176,200.000,-518.171,0,0,0,0,11,0,39.997
4.400,-301.176,200.000,-514.163,0,0,0,0,11,0,44.005
4.800,-301.176,200.000,-510.167,0,0,0,0,11,0,48.001
5.200,-301.176,200.000,-506.171,0,0,0,0,11,0,51.998
5.600,-301.176,200.000,-502.163,0,0,0,0,11,0,56.005
6.000,-301.176,200.000,-498.167,0,0,0,0,11,0,60.001
6.400,-301.176,200.000,-494.170,0,0,0,0,11,0,63.998
6.800,-301.176,200.000,-490.163,0,0,0,0,11,0,68.005
7.200,-301.176,200.000,-486.167,0,0,0,0,11,0,72.002
7.600,-301.176,200.000,-482.170,0,0,0,0,11,0,75.998
8.000,-301.176,200.000,-478.174,0,0,0,0,11,0,79.995
8.400,-301.176,200.000,-474.166,0,0,0,0,11,0,84.002
8.800,-301.176,200.000,-470.170,0,0,0,0,11,0,87.998
9.200,-301.176,200.000,-466.173,0,0,0,0,11,0,91.995
9.600,-301.176,200.000,-462.166,0,0,0,0,11,0,96.002
10.000,-301.176,200.000,-458.170,0,0,0,0,11,0,99.999
10.400,-301.176,200.000,-454.173,0,0,0,0,11,0,103.995
10.800,-301.176,200.000,-450.166,0,0,0,0,11,0,108.003
11.200,-301.176,200.000,-446.169,0,0,0,0,11,0,111.999
11.600,-301.176,200.000,-442.173,0,0,0,0,11,0,115.995
12.000,-301.176,200.000,-438.165,0,0,0,0,11,0,120.003
12.400,-301.176,200.000,-434.169,0,0,0,0,11,0,123.999
12.800,-301.176,200.000,-430.173,0,0,0,0,11,0,127.996
13.200,-301.176,200.000,-426.165,0,0,0,0,11,0,132.003
13.600,-301.176,200.000,-422.169,0,0,0,0,11,0,136.000
14.000,-301.176,200.000,-418.172,0,0,0,0,11,0,139.996
14.400,-301.176,200.000,-414.165,0,0,0,0,11,0,144.004
14.800,-301.176,200.000,-410.168,0,0,0,0,11,0,148.000
15.200,-301.176,200.000,-406.172,0,0,0,0,11,0,151.996
15.600,-301.176,200.000,-402.164,0,0,0,0,11,0,156.004
16.000,-301.176,200.000,-398.168,0,0,0,0,11,0,160.000
16.400,-301.176,200.000,-394.172,0,0,0,0,11,0,163.997
16.800,-301.176,200.000,-390.164,0,0,0,0,11,0,168.004
17.200,-301.176,200.000,-386.168,0,0,0,0,11,0,172.001
17.600,-301.176,200.000,-382.171,0,0,0,0,11,0,175.997
18.000,-301.176,200.000,-378.164,0,0,0,0,11,0,180.004
18.400,-301.176,200.000,-374.167,0,0,0,0,11,0,184.001
18.800,-301.176,200.000,-370.171,0,0,0,0,11,0,187.997
19.200,-301.176,200.000,-366.164,0,0,0,0,11,0,192.005
19.600,-301.176,200.000,-362.167,0,0,0,0,11,0,196.001
20.000,-301.176,200.000,-358.171,0,0,0,0,11,0,199.998
20.400,-301.176,200.000,-354.163,0,0,0,0,11,0,204.005
20.800,-301.176,200.000,-350.167,0,0,0,0,11,0,208.001
21.200,-301.176,200.000,-346.170,0,0,0,0,11,0,211.998
21.600,-301.176,200.000,-342.163,0,0,0,0,11,0,216.005
22.000,-301.176,200.000,-338.167,0,0,0,0,11,0,220.002
22.400,-301.176,200.000,-334.170,0,0,0,0,11,0,223.998
22.800,-301.176,200.000,-330.174,0,0,0,0,11,0,227.994
23.200,-301.176,200.000,-326.166,0,0,0,0,11,0,232.002
23.600,-301.176,200.000,-322.170,0,0,0,0,11,0,235.998
24.000,-301.176,200.000,-318.174,0,0,0,0,11,0,239.995
24.400,-301.176,200.000,-314.166,0,0,0,0,11,0,244.002
24.800,-301.176,200.000,-310.170,0,0,0,0,11,0,247.999
25.200,-301.176,200.000,-306.173,0,0,0,0,11,0,251.995
25.600,-301.176,200.000,-302.166,0,0,0,0,11,0,256.003
26.000,-301.176,200.000,-298.169,0,0,0,0,11,0,259.999
26.400,-301.176,200.000,-294.173,0,0,0,0,11,0,263.995
26.800,-301.176,200.000,-290.165,0,0,0,0,11,0,268.003
27.200,-301.176,200.000,-286.169,0,0,0,0,11,0,271.999
27.600,-301.176,200.000,-282.173,0,0,0,0,11,0,275.996
28.000,-301.176,200.000,-278.165,0,0,0,0,11,0,280.003
28.400,-301.176,200.000,-274.169,0,0,0,0,11,0,284.000
28.800,-301.176,200.000,-270.172,0,0,0,0,11,0,287.996
29.200,-301.176,200.000,-266.165,0,0,0,0,11,0,292.003
29.600,-301.176,200.000,-262.168,0,0,0,0,11,0,296.000
30.000,-301.176,200.000,-258.172,0,0,0,0,11,0,299.996
30.400,-300.715,200.000,-254.198,0,0,0,0,11,0,303.997
30.800,-299.793,200.000,-250.302,0,0,0,0,11,0,308.001
31.200,-298.420,200.000,-246.539,0,0,0,0,11,0,312.006
31.600,-296.622,200.000,-242.966,0,0,0,0,11,0,316.006
32.000,-294.429,200.000,-239.626,0,0,0,0,11,0,320.002
32.400,-291.857,200.000,-236.565,0,0,0,0,11,0,324.000
32.800,-288.944,200.000,-233.815,0,0,0,0,11,0,328.005
33.200,-285.737,200.000,-231.433,0,0,0,0,11,0,332.001
33.600,-282.280,200.000,-229.429,0,0,0,0,11,0,335.996
34.000,-278.602,200.000,-227.848,0,0,0,0,11,0,339.999
34.400,-274.768,200.000,-226.702,0,0,0,0,11,0,344.002
34.800,-270.832,200.000,-226.001,0,0,0,0,11,0,347.999
35.200,-266.896,199.000,-225.310,0,0,0,0,11,0,351.995
35.600,-262.951,198.000,-224.620,0,0,0,0,11,0,356.000
36.000,-259.015,197.200,-223.919,0,0,0,0,11,0,359.998
36.400,-255.080,196.500,-223.229,0,0,0,0,11,0,363.994
36.800,-251.135,196.100,-222.527,0,0,0,0,11,0,368.001
37.200,-247.199,196.000,-221.837,0,0,0,0,11,0,371.997
37.600,-243.263,196.100,-221.147,0,0,0,0,11,0,375.993
38.000,-239.318,196.500,-220.446,0,0,0,0,11,0,380.000
38.400,-235.382,197.200,-219.755,0,0,0,0,11,0,383.996
38.800,-231.446,198.000,-219.054,0,0,0,0,11,0,387.993
39.200,-227.501,199.000,-218.364,0,0,0,0,11,0,391.998
39.600,-223.565,200.000,-217.674,0,0,0,0,11,0,395.994
40.000,-219.768,200.000,-216.416,0,0,0,0,11,0,399.995
40.400,-216.182,200.000,-214.646,0,0,0,0,11,0,403.993
40.800,-212.882,200.000,-212.375,0,0,0,0,11,0,407.999
41.200,-209.951,200.000,-209.659,0,0,0,0,11,0,411.995
41.600,-207.425,200.000,-206.553,0,0,0,0,11,0,415.998
42.000,-205.370,200.000,-203.124,0,0,0,0,11,0,419.996
42.400,-203.821,200.000,-199.440,0,0,0,0,11,0,423.993
42.800,-202.817,200.000,-195.566,0,0,0,0,11,0,427.995
43.200,-202.374,200.000,-191.592,0,0,0,0,11,0,431.994
43.600,-202.503,200.000,-187.595,0,0,0,0,11,0,435.992
44.000,-203.204,200.000,-183.654,0,0,0,0,11,0,439.995
44.400,-203.895,200.000,-179.714,0,0,0,0,11,0,443.996
44.800,-204.587,200.000,-175.773,0,0,0,0,11,0,447.996
45.200,-205.287,200.000,-171.832,0,0,0,0,11,0,451.999
45.600,-205.978,200.000,-167.892,0,0,0,0,11,0,456.000
46.000,-206.670,200.000,-163.951,0,0,0,0,11,0,460.001
46.400,-207.370,200.000,-160.021,0,0,0,0,11,0,463.992
46.800,-208.061,200.000,-156.080,0,0,0,0,11,0,467.993
47.200,-208.753,200.000,-152.140,0,0,0,0,11,0,471.994
47.600,-209.453,200.000,-148.199,0,0,0,0,11,0,475.997
48.000,-210.145,200.000,-144.258,0,0,0,0,11,0,479.998
48.400,-210.836,200.000,-140.318,0,0,0,0,11,0,483.998
48.800,-211.536,200.000,-136.377,0,0,0,0,11,0,488.001
49.200,-212.228,200.000,-132.447,0,0,0,0,11,0,491.991
49.600,-212.919,200.000,-128.506,0,0,0,0,11,0,495.992
50.000,-213.620,200.000,-124.566,0,0,0,0,11,0,499.994
50.400,-214.311,200.000,-120.625,0,0,0,0,11,0,503.995
50.800,-215.002,200.000,-116.684,0,0,0,0,11,0,507.996
51.200,-215.703,200.000,-112.744,0,0,0,0,11,0,511.999
51.600,-216.394,200.000,-108.803,0,0,0,0,11,0,516.000
52.000,-217.095,200.000,-104.862,0,0,0,0,11,0,520.002
52.400,-217.786,200.000,-100.933,0,0,0,0,11,0,523.992
52.800,-218.477,200.000,-96.992,0,0,0,0,11,0,527.993
53.200,-219.178,200.000,-93.051,0,0,0,0,11,0,531.995
53.600,-219.869,200.000,-89.110,0,0,0,0,11,0,535.996
54.000,-220.560,200.000,-85.170,0,0,0,0,11,0,539.997
54.400,-221.261,200.000,-81.229,0,0,0,0,11,0,544.000
54.800,-221.952,200.000,-77.288,0,0,0,0,11,0,548.001
55.200,-222.643,200.000,-73.359,0,0,0,0,11,0,551.991
55.600,-223.344,200.000,-69.418,0,0,0,0,11,0,555.993
56.000,-224.035,200.000,-65.477,0,0,0,0,11,0,559.994
56.400,-224.727,200.000,-61.536,0,0,0,0,11,0,563.995
56.800,-225.427,200.000,-57.596,0,0,0,0,11,0,567.997
57.200,-226.118,200.000,-53.655,0,0,0,0,11,0,571.998
57.600,-226.810,200.000,-49.714,0,0,0,0,11,0,575.999
58.000,-227.510,200.000,-45.773,0,0,0,0,11,0,580.002
58.400,-228.202,200.000,-41.844,0,0,0,0,11,0,583.992
58.800,-228.902,200.000,-37.903,0,0,0,0,11,0,587.994
59.200,-229.593,200.000,-33.962,0,0,0,0,11,0,591.995
59.600,-230.285,200.000,-30.022,0,0,0,0,11,0,595.996
60.000,-230.985,200.000,-26.081,0,0,0,0,11,0,599.998
60.400,-231.677,200.000,-22.140,0,0,0,0,11,0,603.999
60.800,-232.368,200.000,-18.200,0,0,0,0,11,0,608.000
61.200,-233.068,200.000,-14.270,0,0,0,0,11,0,611.992
61.600,-233.760,200.000,-10.329,0,0,0,0,11,0,615.993
62.000,-234.451,200.000,-6.388,0,0,0,0,11,0,619.994
62.400,-235.151,200.000,-2.448,0,0,0,0,11,0,623.996
62.800,-235.843,200.000,1.493,0,0,0,0,11,0,627.997
63.200,-236.534,200.000,5.434,0,0,0,0,11,0,631.998
63.600,-237.235,200.000,9.374,0,0,0,0,11,0,636.000
64.000,-237.926,200.000,13.315,0,0,0,0,11,0,640.001
64.400,-238.617,200.000,17.245,0,0,0,0,11,0,643.991
64.800,-239.318,200.000,21.186,0,0,0,0,11,0,647.994
65.200,-240.009,200.000,25.126,0,0,0,0,11,0,651.995
65.600,-240.710,200.000,29.067,0,0,0,0,11,0,655.997
66.000,-241.401,200.000,33.008,0,0,0,0,11,0,659.998
66.400,-242.092,200.000,36.948,0,0,0,0,11,0,663.999
66.800,-242.793,200.000,40.889,0,0,0,0,11,0,668.002
67.200,-243.484,200.000,44.819,0,0,0,0,11,0,671.991
67.600,-244.175,200.000,48.759,0,0,0,0,11,0,675.992
68.000,-244.876,200.000,52.700,0,0,0,0,11,0,679.995
68.400,-245.567,200.000,56.641,0,0,0,0,11,0,683.996
68.800,-246.258,200.000,60.582,0,0,0,0,11,0,687.997
69.200,-246.120,200.000,64.578,0,0,0,0,11,0,691.995
69.600,-245.152,200.000,68.463,0,0,0,0,11,0,695.999
70.000,-243.401,200.000,72.059,0,0,0,0,11,0,699.999
70.400,-240.940,200.000,75.209,0,0,0,0,11,0,703.996
70.800,-237.871,200.000,77.781,0,0,0,0,11,0,708.001
71.200,-234.340,200.000,79.651,0,0,0,0,11,0,711.996
71.600,-230.497,200.000,80.753,0,0,0,0,11,0,715.994
72.000,-226.506,200.000,81.042,0,0,0,0,11,0,719.996
72.400,-222.551,200.000,80.486,0,0,0,0,11,0,723.989
72.800,-218.791,200.000,79.116,0,0,0,0,11,0,727.991
73.200,-215.030,200.100,77.747,0,0,0,0,11,0,731.994
73.600,-211.269,200.200,76.378,0,0,0,0,11,0,735.996
74.000,-207.508,200.400,75.009,0,0,0,0,11,0,739.998
74.400,-203.757,200.500,73.639,0,0,0,0,11,0,743.992
74.800,-199.996,200.600,72.270,0,0,0,0,11,0,747.994
75.200,-196.236,200.700,70.901,0,0,0,0,11,0,751.996
75.600,-192.475,200.800,69.532,0,0,0,0,11,0,755.998
