t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-481.318,200.000,-1739.149,0,0,0,0,11,0,0.000
0.400,-481.318,200.000,-1735.153,0,0,0,0,11,0,3.996
0.800,-481.318,200.000,-1731.145,0,0,0,0,11,0,8.004
1.200,-481.318,200.000,-1727.149,0,0,0,0,11,0,12.000
1.600,-481.318,200.000,-1723.153,0,0,0,0,11,0,15.997
2.000,-481.318,200.000,-1719.145,0,0,0,0,11,0,20.004
2.400,-481.318,200.000,-1715.149,0,0,0,0,11,0,24.001
2.800,-481.318,200.000,-1711.152,0,0,0,0,11,0,27.997
3.200,-481.318,200.000,-1707.145,0,0,0,0,11,0,32.004
3.600,-481.318,200.000,-1703.148,0,0,0,0,11,0,36.001
4.000,-481.318,200.000,-1699.152,0,0,0,0,11,0,39.997
4.400,-481.318,200.000,-1695.144,0,0,0,0,11,0,44.005
4.800,-481.318,200.000,-1691.148,0,0,0,0,11,0,48.001
5.200,-481.318,200.000,-1687.152,0,0,0,0,11,0,51.998
5.600,-481.318,200.000,-1683.144,0,0,0,0,11,0,56.005
6.000,-481.318,200.000,-1679.148,0,0,0,0,11,0,60.001
6.400,-481.318,200.000,-1675.151,0,0,0,0,11,0,63.998
6.800,-481.318,200.000,-1671.144,0,0,0,0,11,0,68.005
7.200,-481.318,200.000,-1667.147,0,0,0,0,11,0,72.002
7.600,-481.318,200.000,-1663.151,0,0,0,0,11,0,75.998
8.000,-481.318,200.000,-1659.155,0,0,0,0,11,0,79.995
8.400,-481.318,200.000,-1655.147,0,0,0,0,11,0,84.002
8.800,-481.318,200.000,-1651.151,0,0,0,0,11,0,87.998
9.200,-481.318,200.000,-1647.154,0,0,0,0,11,0,91.995
9.600,-481.318,200.000,-1643.147,0,0,0,0,11,0,96.002
10.000,-481.318,200.000,-1639.150,0,0,0,0,11,0,99.999
10.400,-481.318,200.000,-1635.154,0,0,0,0,11,0,103.995
10.800,-481.318,200.000,-1631.147,0,0,0,0,11,0,108.003
11.200,-481.318,200.000,-1627.150,0,0,0,0,11,0,111.999
11.600,-481.318,200.000,-1623.154,0,0,0,0,11,0,115.995
12.000,-481.318,200.000,-1619.146,0,0,0,0,11,0,120.003
12.400,-481.318,200.000,-1615.150,0,0,0,0,11,0,123.999
12.800,-481.318,200.000,-1611.153,0,0,0,0,11,0,127.996
13.200,-481.318,200.000,-1607.146,0,0,0,0,11,0,132.003
13.600,-481.318,200.000,-1603.150,0,0,0,0,11,0,136.000
14.000,-481.318,200.000,-1599.153,0,0,0,0,11,0,139.996
14.400,-481.318,200.000,-1595.146,0,0,0,0,11,0,144.004
14.800,-481.318,200.000,-1591.149,0,0,0,0,11,0,148.000
15.200,-481.318,200.000,-1587.153,0,0,0,0,11,0,151.996
15.600,-481.318,200.000,-1583.145,0,0,0,0,11,0,156.004
16.000,-481.318,200.000,-1579.149,0,0,0,0,11,0,160.000
16.400,-481.318,200.000,-1575.153,0,0,0,0,11,0,163.997
16.800,-481.318,200.000,-1571.145,0,0,0,0,11,0,168.004
17.200,-481.318,200.000,-1567.149,0,0,0,0,11,0,172.001
17.600,-481.318,200.000,-1563.152,0,0,0,0,11,0,175.997
18.000,-481.318,200.000,-1559.145,0,0,0,0,11,0,180.004
18.400,-481.318,200.000,-1555.148,0,0,0,0,11,0,184.001
18.800,-481.318,200.000,-1551.152,0,0,0,0,11,0,187.997
19.200,-481.318,200.000,-1547.144,0,0,0,0,11,0,192.005
19.600,-481.318,200.000,-1543.148,0,0,0,0,11,0,196.001
20.000,-481.318,200.000,-1539.152,0,0,0,0,11,0,199.998
20.400,-481.318,200.000,-1535.144,0,0,0,0,11,0,204.005
20.800,-481.318,200.000,-1531.148,0,0,0,0,11,0,208.001
21.200,-481.318,200.000,-1527.151,0,0,0,0,11,0,211.998
21.600,-481.318,200.000,-1523.144,0,0,0,0,11,0,216.005
22.000,-481.318,200.000,-1519.147,0,0,0,0,11,0,220.002
22.400,-481.318,200.000,-1515.151,0,0,0,0,11,0,223.998
22.800,-481.318,200.000,-1511.155,0,0,0,0,11,0,227.994
23.200,-481.318,200.000,-1507.147,0,0,0,0,11,0,232.002
