t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-491.243,200.000,-1089.437,0,0,0,0,11,0,0.000
0.400,-491.243,200.000,-1085.441,0,0,0,0,11,0,3.996
0.800,-491.243,200.000,-1081.433,0,0,0,0,11,0,8.004
1.200,-491.243,200.000,-1077.437,0,0,0,0,11,0,12.000
1.600,-491.243,200.000,-1073.441,0,0,0,0,11,0,15.997
2.000,-491.243,200.000,-1069.433,0,0,0,0,11,0,20.004
2.400,-491.243,200.000,-1065.437,0,0,0,0,11,0,24.001
2.800,-491.243,200.000,-1061.440,0,0,0,0,11,0,27.997
3.200,-491.243,200.000,-1057.433,0,0,0,0,11,0,32.004
3.600,-491.243,200.000,-1053.436,0,0,0,0,11,0,36.001
4.000,-491.243,200.000,-1049.440,0,0,0,0,11,0,39.997
4.400,-491.243,200.000,-1045.432,0,0,0,0,11,0,44.005
4.800,-491.243,200.000,-1041.436,0,0,0,0,11,0,48.001
5.200,-491.243,200.000,-1037.440,0,0,0,0,11,0,51.998
5.600,-491.243,200.000,-1033.432,0,0,0,0,11,0,56.005
6.000,-491.243,200.000,-1029.436,0,0,0,0,11,0,60.001
6.400,-491.243,200.000,-1025.439,0,0,0,0,11,0,63.998
6.800,-491.243,200.000,-1021.432,0,0,0,0,11,0,68.005
7.200,-491.243,200.000,-1017.435,0,0,0,0,11,0,72.002
7.600,-491.243,200.000,-1013.439,0,0,0,0,11,0,75.998
8.000,-491.243,200.000,-1009.443,0,0,0,0,11,0,79.995
8.400,-491.243,200.000,-1005.435,0,0,0,0,11,0,84.002
8.800,-491.243,200.000,-1001.439,0,0,0,0,11,0,87.998
9.200,-491.243,200.000,-997.442,0,0,0,0,11,0,91.995
9.600,-491.243,200.000,-993.435,0,0,0,0,11,0,96.002
10.000,-491.243,200.000,-989.439,0,0,0,0,11,0,99.999
10.400,-491.243,200.000,-985.442,0,0,0,0,11,0,103.995
10.800,-491.243,200.000,-981.435,0,0,0,0,11,0,108.003
11.200,-491.243,200.000,-977.438,0,0,0,0,11,0,111.999
11.600,-491.243,200.000,-973.442,0,0,0,0,11,0,115.995
12.000,-491.243,200.000,-969.434,0,0,0,0,11,0,120.003
12.400,-491.243,200.000,-965.438,0,0,0,0,11,0,123.999
12.800,-491.243,200.000,-961.442,0,0,0,0,11,0,127.996
13.200,-491.243,200.000,-957.434,0,0,0,0,11,0,132.003
13.600,-491.243,200.000,-953.438,0,0,0,0,11,0,136.000
14.000,-491.243,200.000,-949.441,0,0,0,0,11,0,139.996
14.400,-491.243,200.000,-945.434,0,0,0,0,11,0,144.004
14.800,-491.243,200.000,-941.437,0,0,0,0,11,0,148.000
15.200,-491.243,200.000,-937.441,0,0,0,0,11,0,151.996
15.600,-491.243,200.000,-933.433,0,0,0,0,11,0,156.004
16.000,-491.243,200.000,-929.437,0,0,0,0,11,0,160.000
16.400,-491.243,200.000,-925.441,0,0,0,0,11,0,163.997
16.800,-491.243,200.000,-921.433,0,0,0,0,11,0,168.004
17.200,-491.243,200.000,-917.437,0,0,0,0,11,0,172.001
17.600,-491.243,200.000,-913.440,0,0,0,0,11,0,175.997
18.000,-491.243,200.000,-909.433,0,0,0,0,11,0,180.004
18.400,-491.243,200.000,-905.436,0,0,0,0,11,0,184.001
18.800,-491.243,200.000,-901.440,0,0,0,0,11,0,187.997
19.200,-491.243,200.000,-897.433,0,0,0,0,11,0,192.005
19.600,-491.243,200.000,-893.436,0,0,0,0,11,0,196.001
20.000,-491.243,200.000,-889.440,0,0,0,0,11,0,199.998
20.400,-491.243,200.000,-885.432,0,0,0,0,11,0,204.005
20.800,-491.243,200.000,-881.436,0,0,0,0,11,0,208.001
21.200,-491.243,200.000,-877.439,0,0,0,0,11,0,211.998
21.600,-491.243,200.000,-873.432,0,0,0,0,11,0,216.005
22.000,-491.243,200.000,-869.436,0,0,0,0,11,0,220.002
22.400,-491.243,200.000,-865.439,0,0,0,0,11,0,223.998
22.800,-491.243,200.000,-861.443,0,0,0,0,11,0,227.994
23.200,-491.243,200.000,-857.435,0,0,0,0,11,0,232.002
23.600,-491.243,200.000,-853.439,0,0,0,0,11,0,235.998
24.000,-491.243,200.000,-849.442,0,0,0,0,11,0,239.995
24.400,-491.243,200.000,-845.435,0,0,0,0,11,0,244.002
24.800,-491.243,200.000,-841.439,0,0,0,0,11,0,247.999
25.200,-491.243,200.000,-837.442,0,0,0,0,11,0,251.995
25.600,-491.243,200.000,-833.435,0,0,0,0,11,0,256.003
26.000,-491.243,200.000,-829.438,0,0,0,0,11,0,259.999
26.400,-491.243,200.000,-825.442,0,0,0,0,11,0,263.995
26.800,-491.243,200.000,-821.434,0,0,0,0,11,0,268.003
27.200,-491.243,200.000,-817.438,0,0,0,0,11,0,271.999
27.600,-491.243,200.000,-813.442,0,0,0,0,11,0,275.996
28.000,-491.243,200.000,-809.434,0,0,0,0,11,0,280.003
28.400,-491.243,200.000,-805.438,0,0,0,0,11,0,284.000
28.800,-491.243,200.000,-801.441,0,0,0,0,11,0,287.996
29.200,-491.243,200.000,-797.434,0,0,0,0,11,0,292.003
29.600,-491.243,200.000,-793.437,0,0,0,0,11,0,296.000
30.000,-491.243,200.000,-789.441,0,0,0,0,11,0,299.996
30.400,-491.243,200.000,-785.433,0,0,0,0,11,0,304.004
30.800,-491.243,200.000,-781.437,0,0,0,0,11,0,308.000
31.200,-491.243,200.000,-777.441,0,0,0,0,11,0,311.997
31.600,-491.243,200.000,-773.433,0,0,0,0,11,0,316.004
32.000,-491.243,200.000,-769.437,0,0,0,0,11,0,320.000
32.400,-491.243,200.000,-765.440,0,0,0,0,11,0,323.997
32.800,-491.243,200.000,-761.433,0,0,0,0,11,0,328.004
33.200,-491.243,200.000,-757.436,0,0,0,0,11,0,332.001
33.600,-491.243,200.000,-753.440,0,0,0,0,11,0,335.997
34.000,-491.243,200.000,-749.433,0,0,0,0,11,0,340.005
34.400,-491.243,200.000,-745.436,0,0,0,0,11,0,344.001
34.800,-491.243,200.000,-741.440,0,0,0,0,11,0,347.997
35.200,-491.243,200.000,-737.432,0,0,0,0,11,0,352.005
35.600,-491.243,200.000,-733.436,0,0,0,0,11,0,356.001
36.000,-491.243,200.000,-729.440,0,0,0,0,11,0,359.998
36.400,-491.243,200.000,-725.432,0,0,0,0,11,0,364.005
36.800,-491.243,200.000,-721.436,0,0,0,0,11,0,368.002
37.200,-491.243,200.000,-717.439,0,0,0,0,11,0,371.998
37.600,-491.243,200.000,-713.432,0,0,0,0,11,0,376.006
38.000,-491.243,200.000,-709.435,0,0,0,0,11,0,380.002
38.400,-491.243,200.000,-705.439,0,0,0,0,11,0,383.998
38.800,-491.243,200.000,-701.443,0,0,0,0,11,0,387.995
39.200,-491.243,200.000,-697.435,0,0,0,0,11,0,392.002
39.600,-491.243,200.000,-693.439,0,0,0,0,11,0,395.999
40.000,-491.243,200.000,-689.442,0,0,0,0,11,0,399.995
40.400,-491.033,200.000,-685.446,0,0,0,0,11,0,403.997
40.800,-490.614,200.000,-681.461,0,0,0,0,11,0,408.004
41.200,-489.994,200.000,-677.509,0,0,0,0,11,0,412.004
41.600,-489.155,200.000,-673.601,0,0,0,0,11,0,416.001
42.000,-488.125,200.000,-669.739,0,0,0,0,11,0,419.999
42.400,-486.885,200.000,-665.931,0,0,0,0,11,0,424.002
42.800,-485.455,200.000,-662.202,0,0,0,0,11,0,427.997
43.200,-483.824,200.000,-658.540,0,0,0,0,11,0,432.006
43.600,-482.012,200.000,-654.978,0,0,0,0,11,0,436.002
44.000,-480.010,200.000,-651.516,0,0,0,0,11,0,440.002
44.400,-477.836,200.000,-648.165,0,0,0,0,11,0,443.996
44.800,-475.480,200.000,-644.925,0,0,0,0,11,0,448.001
45.200,-472.963,200.000,-641.820,0,0,0,0,11,0,451.999
45.600,-470.293,200.000,-638.847,0,0,0,0,11,0,455.995
46.000,-467.460,200.000,-636.020,0,0,0,0,11,0,459.997
46.400,-464.485,200.000,-633.337,0,0,0,0,11,0,464.003
46.800,-461.376,200.000,-630.821,0,0,0,0,11,0,468.002
47.200,-458.144,200.000,-628.472,0,0,0,0,11,0,471.998
47.600,-454.787,200.000,-626.290,0,0,0,0,11,0,476.001
48.000,-451.325,200.000,-624.298,0,0,0,0,11,0,479.996
48.400,-447.864,200.100,-622.294,0,0,0,0,11,0,483.995
48.800,-444.402,200.200,-620.290,0,0,0,0,11,0,487.995
49.200,-440.931,200.200,-618.298,0,0,0,0,11,0,491.997
49.600,-437.470,200.300,-616.294,0,0,0,0,11,0,495.997
50.000,-434.008,200.400,-614.290,0,0,0,0,11,0,499.997
50.400,-430.547,200.500,-612.297,0,0,0,0,11,0,503.991
50.800,-427.085,200.600,-610.294,0,0,0,0,11,0,507.991
51.200,-423.614,200.600,-608.290,0,0,0,0,11,0,511.998
51.600,-420.152,200.700,-606.297,0,0,0,0,11,0,515.993
52.000,-416.691,200.800,-604.294,0,0,0,0,11,0,519.992
52.400,-413.229,200.900,-602.290,0,0,0,0,11,0,523.992
52.800,-409.758,201.000,-600.297,0,0,0,0,11,0,527.994
53.200,-406.296,201.000,-598.293,0,0,0,0,11,0,531.994
53.600,-402.835,201.100,-596.290,0,0,0,0,11,0,535.994
54.000,-399.373,201.200,-594.297,0,0,0,0,11,0,539.988
54.400,-395.902,201.300,-592.293,0,0,0,0,11,0,543.996
54.800,-392.441,201.400,-590.290,0,0,0,0,11,0,547.995
55.200,-388.979,201.400,-588.297,0,0,0,0,11,0,551.990
55.600,-385.518,201.500,-586.293,0,0,0,0,11,0,555.989
56.000,-382.056,201.600,-584.289,0,0,0,0,11,0,559.989
56.400,-378.585,201.700,-582.297,0,0,0,0,11,0,563.991
56.800,-375.123,201.800,-580.293,0,0,0,0,11,0,567.991
57.200,-371.662,201.800,-578.289,0,0,0,0,11,0,571.991
57.600,-368.200,201.900,-576.297,0,0,0,0,11,0,575.985
58.000,-364.729,202.000,-574.293,0,0,0,0,11,0,579.993
58.400,-361.268,202.100,-572.289,0,0,0,0,11,0,583.992
58.800,-357.806,202.200,-570.296,0,0,0,0,11,0,587.987
59.200,-354.344,202.200,-568.293,0,0,0,0,11,0,591.986
59.600,-350.883,202.300,-566.289,0,0,0,0,11,0,595.986
60.000,-347.412,202.400,-564.296,0,0,0,0,11,0,599.988
60.400,-343.950,202.500,-562.293,0,0,0,0,11,0,603.988
60.800,-340.489,202.600,-560.289,0,0,0,0,11,0,607.988
61.200,-337.027,202.600,-558.296,0,0,0,0,11,0,611.982
61.600,-333.556,202.700,-556.292,0,0,0,0,11,0,615.990
62.000,-330.094,202.800,-554.289,0,0,0,0,11,0,619.990
62.400,-326.633,202.900,-552.296,0,0,0,0,11,0,623.984
62.800,-323.171,203.000,-550.292,0,0,0,0,11,0,627.983
63.200,-319.700,203.000,-548.288,0,0,0,0,11,0,631.991
63.600,-316.239,203.100,-546.296,0,0,0,0,11,0,635.985
64.000,-312.777,203.200,-544.292,0,0,0,0,11,0,639.985
64.400,-309.315,203.300,-542.288,0,0,0,0,11,0,643.985
64.800,-305.854,203.400,-540.296,0,0,0,0,11,0,647.979
65.200,-302.383,203.400,-538.292,0,0,0,0,11,0,651.987
65.600,-298.921,203.500,-536.288,0,0,0,0,11,0,655.987
66.000,-295.460,203.600,-534.296,0,0,0,0,11,0,659.981
66.400,-291.998,203.700,-532.292,0,0,0,0,11,0,663.980
66.800,-288.527,203.800,-530.288,0,0,0,0,11,0,667.988
67.200,-285.065,203.800,-528.295,0,0,0,0,11,0,671.982
67.600,-281.604,203.900,-526.292,0,0,0,0,11,0,675.982
68.000,-278.142,204.000,-524.288,0,0,0,0,11,0,679.982
68.400,-274.671,204.100,-522.295,0,0,0,0,11,0,683.984
68.800,-271.210,204.200,-520.291,0,0,0,0,11,0,687.984
69.200,-267.748,204.200,-518.288,0,0,0,0,11,0,691.984
69.600,-264.286,204.300,-516.295,0,0,0,0,11,0,695.978
70.000,-260.825,204.400,-514.291,0,0,0,0,11,0,699.977
70.400,-257.354,204.500,-512.288,0,0,0,0,11,0,703.985
70.800,-253.892,204.600,-510.295,0,0,0,0,11,0,707.979
71.200,-250.431,204.600,-508.291,0,0,0,0,11,0,711.979
71.600,-246.969,204.700,-506.287,0,0,0,0,11,0,715.979
72.000,-243.498,204.800,-504.295,0,0,0,0,11,0,719.981
72.400,-240.036,204.900,-502.291,0,0,0,0,11,0,723.981
72.800,-236.575,205.000,-500.298,0,0,0,0,11,0,727.975
73.200,-233.113,205.000,-498.295,0,0,0,0,11,0,731.975
73.600,-229.652,205.100,-496.291,0,0,0,0,11,0,735.974
74.000,-226.181,205.200,-494.298,0,0,0,0,11,0,739.977
74.400,-222.719,205.300,-492.295,0,0,0,0,11,0,743.976
74.800,-219.257,205.400,-490.291,0,0,0,0,11,0,747.976
75.200,-215.796,205.400,-488.298,0,0,0,0,11,0,751.970
75.600,-212.325,205.500,-486.294,0,0,0,0,11,0,755.978
76.000,-208.863,205.600,-484.291,0,0,0,0,11,0,759.978
76.400,-205.402,205.700,-482.298,0,0,0,0,11,0,763.972
76.800,-201.940,205.800,-480.294,0,0,0,0,11,0,767.972
77.200,-198.469,205.800,-478.290,0,0,0,0,11,0,771.980
