t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-151.218,200.000,-334.887,0,0,0,0,11,0,0.000
0.400,-151.218,200.100,-330.890,0,0,0,0,11,0,3.996
0.800,-151.218,200.200,-326.883,0,0,0,0,11,0,8.004
1.200,-151.218,200.300,-322.886,0,0,0,0,11,0,12.000
1.600,-151.218,200.400,-318.890,0,0,0,0,11,0,15.997
2.000,-151.218,200.500,-314.882,0,0,0,0,11,0,20.004
2.400,-151.218,200.600,-310.886,0,0,0,0,11,0,24.001
2.800,-151.218,200.700,-306.890,0,0,0,0,11,0,27.997
3.200,-151.218,200.900,-302.882,0,0,0,0,11,0,32.004
3.600,-151.218,201.000,-298.886,0,0,0,0,11,0,36.001
4.000,-151.218,201.100,-294.889,0,0,0,0,11,0,39.997
4.400,-151.218,201.200,-290.882,0,0,0,0,11,0,44.005
4.800,-151.218,201.300,-286.885,0,0,0,0,11,0,48.001
5.200,-151.218,201.400,-282.889,0,0,0,0,11,0,51.998
5.600,-151.218,201.500,-278.882,0,0,0,0,11,0,56.005
6.000,-151.218,201.600,-274.885,0,0,0,0,11,0,60.001
6.400,-151.218,201.700,-270.889,0,0,0,0,11,0,63.998
6.800,-151.218,201.800,-266.881,0,0,0,0,11,0,68.005
7.200,-151.218,201.900,-262.885,0,0,0,0,11,0,72.002
7.600,-151.218,202.000,-258.888,0,0,0,0,11,0,75.998
8.000,-151.218,202.100,-254.892,0,0,0,0,11,0,79.995
8.400,-151.218,202.200,-250.885,0,0,0,0,11,0,84.002
8.800,-151.218,202.300,-246.888,0,0,0,0,11,0,87.998
9.200,-151.218,202.500,-242.892,0,0,0,0,11,0,91.995
9.600,-151.218,202.600,-238.884,0,0,0,0,11,0,96.002
10.000,-151.218,202.700,-234.888,0,0,0,0,11,0,99.999
10.400,-151.218,202.800,-230.892,0,0,0,0,11,0,103.995
10.800,-151.218,202.900,-226.884,0,0,0,0,11,0,108.003
11.200,-151.218,203.000,-222.888,0,0,0,0,11,0,111.999
11.600,-151.218,203.100,-218.891,0,0,0,0,11,0,115.995
12.000,-151.218,203.200,-214.884,0,0,0,0,11,0,120.003
12.400,-151.218,203.300,-210.887,0,0,0,0,11,0,123.999
12.800,-151.218,203.400,-206.891,0,0,0,0,11,0,127.996
13.200,-151.218,203.500,-202.883,0,0,0,0,11,0,132.003
13.600,-151.218,203.600,-198.887,0,0,0,0,11,0,136.000
14.000,-151.218,203.700,-194.891,0,0,0,0,11,0,139.996
14.400,-151.218,203.800,-190.883,0,0,0,0,11,0,144.004
14.800,-151.218,203.900,-186.887,0,0,0,0,11,0,148.000
15.200,-150.609,203.900,-182.935,0,0,0,0,11,0,151.998
15.600,-149.406,203.900,-179.117,0,0,0,0,11,0,156.002
16.000,-147.635,203.900,-175.532,0,0,0,0,11,0,160.000
16.400,-145.344,203.900,-172.259,0,0,0,0,11,0,163.995
16.800,-142.575,203.900,-169.365,0,0,0,0,11,0,168.000
17.200,-139.402,203.900,-166.927,0,0,0,0,11,0,172.002
17.600,-135.894,203.900,-165.001,0,0,0,0,11,0,176.003
18.000,-132.140,203.900,-163.643,0,0,0,0,11,0,179.995
18.400,-128.380,203.800,-162.274,0,0,0,0,11,0,183.998
18.800,-124.619,203.600,-160.905,0,0,0,0,11,0,188.000
19.200,-120.865,203.400,-159.535,0,0,0,0,11,0,191.996
19.600,-117.104,203.200,-158.166,0,0,0,0,11,0,195.998
20.000,-113.343,203.100,-156.797,0,0,0,0,11,0,200.000
20.400,-109.589,202.900,-155.428,0,0,0,0,11,0,203.996
20.800,-105.829,202.700,-154.058,0,0,0,0,11,0,207.998
21.200,-102.068,202.500,-152.689,0,0,0,0,11,0,212.001
21.600,-98.314,202.300,-151.320,0,0,0,0,11,0,215.997
22.000,-94.553,202.200,-149.962,0,0,0,0,11,0,219.995
22.400,-90.792,202.000,-148.593,0,0,0,0,11,0,223.997
22.800,-87.039,201.800,-147.223,0,0,0,0,11,0,227.993
23.200,-83.278,201.600,-145.854,0,0,0,0,11,0,231.995
23.600,-79.517,201.500,-144.485,0,0,0,0,11,0,235.998
24.000,-75.763,201.300,-143.116,0,0,0,0,11,0,239.994
24.400,-72.002,201.100,-141.746,0,0,0,0,11,0,243.996
24.800,-68.242,200.900,-140.377,0,0,0,0,11,0,247.998
25.200,-64.488,200.700,-139.008,0,0,0,0,11,0,251.994
25.600,-60.727,200.600,-137.639,0,0,0,0,11,0,255.996
26.000,-56.966,200.400,-136.281,0,0,0,0,11,0,259.995
26.400,-53.212,200.200,-134.911,0,0,0,0,11,0,263.991
26.800,-49.451,200.000,-133.542,0,0,0,0,11,0,267.993
