t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-405.400,200.000,-1942.028,0,0,0,0,11,0,0.000
0.400,-405.400,200.000,-1938.032,0,0,0,0,11,0,3.996
0.800,-405.400,200.100,-1934.024,0,0,0,0,11,0,8.004
1.200,-405.400,200.100,-1930.028,0,0,0,0,11,0,12.000
1.600,-405.400,200.100,-1926.032,0,0,0,0,11,0,15.997
2.000,-405.400,200.200,-1922.024,0,0,0,0,11,0,20.004
2.400,-405.400,200.200,-1918.028,0,0,0,0,11,0,24.001
2.800,-405.400,200.200,-1914.031,0,0,0,0,11,0,27.997
3.200,-405.400,200.300,-1910.024,0,0,0,0,11,0,32.005
3.600,-405.400,200.300,-1906.027,0,0,0,0,11,0,36.001
4.000,-405.400,200.400,-1902.031,0,0,0,0,11,0,39.997
4.400,-405.400,200.400,-1898.024,0,0,0,0,11,0,44.005
4.800,-405.400,200.400,-1894.027,0,0,0,0,11,0,48.001
5.200,-405.400,200.500,-1890.031,0,0,0,0,11,0,51.998
5.600,-405.400,200.500,-1886.023,0,0,0,0,11,0,56.005
6.000,-405.400,200.500,-1882.027,0,0,0,0,11,0,60.001
6.400,-405.400,200.600,-1878.030,0,0,0,0,11,0,63.998
6.800,-405.400,200.600,-1874.023,0,0,0,0,11,0,68.005
7.200,-405.400,200.600,-1870.027,0,0,0,0,11,0,72.002
7.600,-405.400,200.700,-1866.030,0,0,0,0,11,0,75.998
8.000,-405.400,200.700,-1862.034,0,0,0,0,11,0,79.995
8.400,-405.400,200.700,-1858.026,0,0,0,0,11,0,84.002
8.800,-405.400,200.800,-1854.030,0,0,0,0,11,0,87.998
9.200,-405.400,200.800,-1850.033,0,0,0,0,11,0,91.995
9.600,-405.400,200.900,-1846.026,0,0,0,0,11,0,96.002
10.000,-405.400,200.900,-1842.030,0,0,0,0,11,0,99.999
10.400,-405.400,200.900,-1838.033,0,0,0,0,11,0,103.995
10.800,-405.400,201.000,-1834.026,0,0,0,0,11,0,108.003
11.200,-405.400,201.000,-1830.029,0,0,0,0,11,0,111.999
11.600,-405.400,201.000,-1826.033,0,0,0,0,11,0,115.995
12.000,-405.400,201.100,-1822.025,0,0,0,0,11,0,120.003
12.400,-405.400,201.100,-1818.029,0,0,0,0,11,0,123.999
12.800,-405.400,201.100,-1814.033,0,0,0,0,11,0,127.996
13.200,-405.400,201.200,-1810.025,0,0,0,0,11,0,132.003
13.600,-405.400,201.200,-1806.029,0,0,0,0,11,0,136.000
