t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-259.120,200.000,-360.935,0,0,0,0,11,0,0.000
0.400,-259.120,200.200,-356.938,0,0,0,0,11,0,3.996
0.800,-259.120,200.400,-352.931,0,0,0,0,11,0,8.004
1.200,-259.120,200.600,-348.935,0,0,0,0,11,0,12.000
1.600,-259.120,200.800,-344.938,0,0,0,0,11,0,15.997
2.000,-259.120,201.000,-340.931,0,0,0,0,11,0,20.004
2.400,-259.120,201.200,-336.934,0,0,0,0,11,0,24.001
2.800,-259.120,201.300,-332.938,0,0,0,0,11,0,27.997
3.200,-259.120,201.500,-328.930,0,0,0,0,11,0,32.004
3.600,-259.120,201.700,-324.934,0,0,0,0,11,0,36.001
4.000,-259.120,201.900,-320.938,0,0,0,0,11,0,39.997
4.400,-259.120,202.100,-316.930,0,0,0,0,11,0,44.005
4.800,-259.120,202.300,-312.934,0,0,0,0,11,0,48.001
5.200,-259.120,202.500,-308.937,0,0,0,0,11,0,51.998
5.600,-259.120,202.700,-304.930,0,0,0,0,11,0,56.005
6.000,-259.120,202.900,-300.933,0,0,0,0,11,0,60.001
6.400,-259.120,203.100,-296.937,0,0,0,0,11,0,63.998
6.800,-259.120,203.300,-292.929,0,0,0,0,11,0,68.005
7.200,-259.120,203.500,-288.933,0,0,0,0,11,0,72.002
7.600,-259.120,203.600,-284.937,0,0,0,0,11,0,75.998
8.000,-259.120,203.800,-280.940,0,0,0,0,11,0,79.995
8.400,-259.120,204.000,-276.933,0,0,0,0,11,0,84.002
8.800,-259.120,204.200,-272.936,0,0,0,0,11,0,87.998
9.200,-259.120,204.400,-268.940,0,0,0,0,11,0,91.995
9.600,-259.120,204.600,-264.932,0,0,0,0,11,0,96.002
10.000,-259.120,204.800,-260.936,0,0,0,0,11,0,99.999
10.400,-259.120,205.000,-256.940,0,0,0,0,11,0,103.995
10.800,-259.120,205.200,-252.932,0,0,0,0,11,0,108.003
11.200,-259.120,205.400,-248.936,0,0,0,0,11,0,111.999
11.600,-259.120,205.600,-244.939,0,0,0,0,11,0,115.995
12.000,-259.120,205.800,-240.932,0,0,0,0,11,0,120.003
12.400,-259.120,206.000,-236.935,0,0,0,0,11,0,123.999
12.800,-259.120,206.100,-232.939,0,0,0,0,11,0,127.996
13.200,-259.120,206.300,-228.932,0,0,0,0,11,0,132.003
13.600,-259.120,206.500,-224.935,0,0,0,0,11,0,136.000
14.000,-259.120,206.700,-220.939,0,0,0,0,11,0,139.996
14.400,-259.120,206.900,-216.931,0,0,0,0,11,0,144.004
14.800,-259.120,207.100,-212.935,0,0,0,0,11,0,148.000
15.200,-259.120,207.300,-208.938,0,0,0,0,11,0,151.996
15.600,-259.120,207.500,-204.931,0,0,0,0,11,0,156.004
16.000,-259.120,207.700,-200.935,0,0,0,0,11,0,160.000
16.400,-259.120,207.900,-196.938,0,0,0,0,11,0,163.997
16.800,-259.120,208.100,-192.931,0,0,0,0,11,0,168.004
17.200,-259.120,208.300,-188.934,0,0,0,0,11,0,172.001
17.600,-259.120,208.400,-184.938,0,0,0,0,11,0,175.997
18.000,-259.120,208.600,-180.930,0,0,0,0,11,0,180.004
18.400,-259.120,208.800,-176.934,0,0,0,0,11,0,184.001
18.800,-259.120,209.000,-172.938,0,0,0,0,11,0,187.997
19.200,-259.120,209.200,-168.930,0,0,0,0,11,0,192.005
19.600,-259.120,209.400,-164.934,0,0,0,0,11,0,196.001
20.000,-259.120,209.600,-160.937,0,0,0,0,11,0,199.998
20.400,-259.120,209.800,-156.930,0,0,0,0,11,0,204.005
20.800,-259.120,210.000,-152.933,0,0,0,0,11,0,208.001
21.200,-259.120,210.200,-148.937,0,0,0,0,11,0,211.998
21.600,-259.120,210.400,-144.929,0,0,0,0,11,0,216.005
22.000,-259.120,210.600,-140.933,0,0,0,0,11,0,220.002
22.400,-259.120,210.800,-136.937,0,0,0,0,11,0,223.998
22.800,-259.120,210.900,-132.940,0,0,0,0,11,0,227.994
23.200,-259.120,211.100,-128.933,0,0,0,0,11,0,232.002
23.600,-259.120,211.300,-124.936,0,0,0,0,11,0,235.998
24.000,-259.120,211.500,-120.940,0,0,0,0,11,0,239.995
24.400,-259.120,211.700,-116.933,0,0,0,0,11,0,244.002
24.800,-259.120,211.900,-112.936,0,0,0,0,11,0,247.999
25.200,-258.084,211.900,-109.073,0,0,0,0,11,0,251.998
25.600,-256.084,211.900,-105.611,0,0,0,0,11,0,255.996
26.000,-253.253,211.900,-102.784,0,0,0,0,11,0,259.998
26.400,-249.794,211.900,-100.780,0,0,0,0,11,0,263.995
26.800,-245.927,211.900,-99.745,0,0,0,0,11,0,267.998
27.200,-241.927,211.900,-99.745,0,0,0,0,11,0,271.998
27.600,-238.068,211.900,-100.780,0,0,0,0,11,0,275.994
28.000,-234.601,211.900,-102.784,0,0,0,0,11,0,279.998
28.400,-231.777,211.900,-105.611,0,0,0,0,11,0,283.994
28.800,-229.777,211.900,-109.073,0,0,0,0,11,0,287.992
29.200,-227.777,212.200,-112.535,0,0,0,0,11,0,291.991
29.600,-225.777,212.500,-115.997,0,0,0,0,11,0,295.989
30.000,-223.777,212.800,-119.459,0,0,0,0,11,0,299.987
30.400,-221.777,213.100,-122.933,0,0,0,0,11,0,303.995
30.800,-219.777,213.500,-126.395,0,0,0,0,11,0,307.993
31.200,-217.776,213.800,-129.857,0,0,0,0,11,0,311.992
31.600,-215.776,214.100,-133.319,0,0,0,0,11,0,315.990
32.000,-213.776,214.400,-136.781,0,0,0,0,11,0,319.988
32.400,-211.776,214.700,-140.243,0,0,0,0,11,0,323.987
32.800,-209.776,215.000,-143.716,0,0,0,0,11,0,327.994
33.200,-207.776,215.300,-147.178,0,0,0,0,11,0,331.993
33.600,-205.776,215.600,-150.640,0,0,0,0,11,0,335.991
34.000,-203.776,215.900,-154.102,0,0,0,0,11,0,339.989
34.400,-201.776,216.300,-157.564,0,0,0,0,11,0,343.988
34.800,-199.776,216.600,-161.037,0,0,0,0,11,0,347.995
35.200,-197.775,216.900,-164.500,0,0,0,0,11,0,351.994
35.600,-195.775,217.200,-167.962,0,0,0,0,11,0,355.992
36.000,-193.775,217.500,-171.424,0,0,0,0,11,0,359.990
36.400,-191.775,217.800,-174.886,0,0,0,0,11,0,363.989
36.800,-189.775,218.100,-178.348,0,0,0,0,11,0,367.987
37.200,-187.775,218.400,-181.821,0,0,0,0,11,0,371.995
37.600,-185.775,218.700,-185.283,0,0,0,0,11,0,375.993
38.000,-183.775,219.100,-188.745,0,0,0,0,11,0,379.991
38.400,-181.775,219.400,-192.207,0,0,0,0,11,0,383.990
38.800,-179.775,219.700,-195.669,0,0,0,0,11,0,387.988
39.200,-177.774,220.000,-199.142,0,0,0,0,11,0,391.996
39.600,-175.774,220.300,-202.604,0,0,0,0,11,0,395.994
40.000,-173.774,220.600,-206.066,0,0,0,0,11,0,399.992
40.400,-171.774,220.900,-209.528,0,0,0,0,11,0,403.991
40.800,-169.774,221.200,-212.991,0,0,0,0,11,0,407.989
41.200,-167.774,221.500,-216.464,0,0,0,0,11,0,411.997
41.600,-165.774,221.900,-219.926,0,0,0,0,11,0,415.995
42.000,-163.774,222.200,-223.388,0,0,0,0,11,0,419.993
42.400,-161.781,222.500,-226.850,0,0,0,0,11,0,423.988
42.800,-159.781,222.800,-230.312,0,0,0,0,11,0,427.986
43.200,-157.781,223.100,-233.774,0,0,0,0,11,0,431.984
43.600,-155.781,223.400,-237.247,0,0,0,0,11,0,435.992
44.000,-153.781,223.700,-240.709,0,0,0,0,11,0,439.991
44.400,-151.781,224.000,-244.171,0,0,0,0,11,0,443.989
44.800,-149.781,224.300,-247.633,0,0,0,0,11,0,447.987
45.200,-147.781,224.700,-251.095,0,0,0,0,11,0,451.985
45.600,-145.781,225.000,-254.569,0,0,0,0,11,0,455.993
46.000,-143.781,225.300,-258.031,0,0,0,0,11,0,459.992
46.400,-141.780,225.600,-261.493,0,0,0,0,11,0,463.990
46.800,-139.780,225.900,-264.955,0,0,0,0,11,0,467.988
47.200,-136.815,225.900,-267.649,0,0,0,0,11,0,471.994
47.600,-133.176,225.900,-269.296,0,0,0,0,11,0,475.989
48.000,-129.199,225.900,-269.764,0,0,0,0,11,0,479.993
48.400,-125.278,225.900,-268.996,0,0,0,0,11,0,483.989
48.800,-121.779,225.900,-267.059,0,0,0,0,11,0,487.988
49.200,-119.034,225.900,-264.153,0,0,0,0,11,0,491.985
49.600,-117.309,225.900,-260.546,0,0,0,0,11,0,495.984
50.000,-116.767,225.900,-256.583,0,0,0,0,11,0,499.983
50.400,-117.458,225.900,-252.643,0,0,0,0,11,0,503.984
50.800,-118.156,226.200,-248.702,0,0,0,0,11,0,507.986
51.200,-118.846,226.400,-244.761,0,0,0,0,11,0,511.987
51.600,-119.544,226.700,-240.821,0,0,0,0,11,0,515.989
52.000,-120.234,226.900,-236.880,0,0,0,0,11,0,519.990
52.400,-120.932,227.200,-232.939,0,0,0,0,11,0,523.992
