t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-198.107,200.000,-872.397,0,0,0,0,11,0,0.000
0.400,-198.107,200.000,-868.401,0,0,0,0,11,0,3.996
0.800,-198.107,200.000,-864.393,0,0,0,0,11,0,8.004
1.200,-198.107,200.000,-860.397,0,0,0,0,11,0,12.000
1.600,-198.107,200.000,-856.401,0,0,0,0,11,0,15.997
2.000,-198.107,200.000,-852.393,0,0,0,0,11,0,20.004
2.400,-198.107,200.000,-848.397,0,0,0,0,11,0,24.001
2.800,-198.107,200.000,-844.400,0,0,0,0,11,0,27.997
3.200,-198.107,200.000,-840.393,0,0,0,0,11,0,32.004
3.600,-198.107,200.000,-836.396,0,0,0,0,11,0,36.001
4.000,-198.107,200.000,-832.400,0,0,0,0,11,0,39.997
4.400,-198.107,200.000,-828.392,0,0,0,0,11,0,44.005
4.800,-198.107,200.000,-824.396,0,0,0,0,11,0,48.001
5.200,-198.107,200.000,-820.400,0,0,0,0,11,0,51.998
5.600,-198.107,200.000,-816.392,0,0,0,0,11,0,56.005
6.000,-198.107,200.000,-812.396,0,0,0,0,11,0,60.001
6.400,-198.107,200.000,-808.399,0,0,0,0,11,0,63.998
6.800,-198.107,200.000,-804.392,0,0,0,0,11,0,68.005
7.200,-198.107,200.000,-800.395,0,0,0,0,11,0,72.002
7.600,-198.107,200.000,-796.399,0,0,0,0,11,0,75.998
8.000,-198.107,200.000,-792.403,0,0,0,0,11,0,79.995
8.400,-198.107,200.000,-788.395,0,0,0,0,11,0,84.002
8.800,-198.107,200.000,-784.399,0,0,0,0,11,0,87.998
9.200,-198.107,200.000,-780.402,0,0,0,0,11,0,91.995
9.600,-198.107,200.000,-776.395,0,0,0,0,11,0,96.002
10.000,-198.107,200.000,-772.398,0,0,0,0,11,0,99.999
10.400,-198.107,200.000,-768.402,0,0,0,0,11,0,103.995
10.800,-198.107,200.000,-764.395,0,0,0,0,11,0,108.003
11.200,-198.107,200.000,-760.398,0,0,0,0,11,0,111.999
11.600,-198.107,200.000,-756.402,0,0,0,0,11,0,115.995
12.000,-198.107,200.000,-752.394,0,0,0,0,11,0,120.003
12.400,-198.107,200.000,-748.398,0,0,0,0,11,0,123.999
12.800,-198.107,200.000,-744.401,0,0,0,0,11,0,127.996
13.200,-198.107,200.000,-740.394,0,0,0,0,11,0,132.003
13.600,-198.107,200.000,-736.398,0,0,0,0,11,0,136.000
14.000,-198.107,200.000,-732.401,0,0,0,0,11,0,139.996
14.400,-198.107,200.000,-728.394,0,0,0,0,11,0,144.004
14.800,-198.107,200.000,-724.397,0,0,0,0,11,0,148.000
15.200,-198.107,200.000,-720.401,0,0,0,0,11,0,151.996
15.600,-198.107,200.000,-716.393,0,0,0,0,11,0,156.004
16.000,-198.107,200.000,-712.397,0,0,0,0,11,0,160.000
16.400,-198.107,200.000,-708.401,0,0,0,0,11,0,163.997
16.800,-198.107,200.000,-704.393,0,0,0,0,11,0,168.004
17.200,-198.107,200.000,-700.397,0,0,0,0,11,0,172.001
17.600,-198.107,200.000,-696.400,0,0,0,0,11,0,175.997
18.000,-198.107,200.000,-692.393,0,0,0,0,11,0,180.004
18.400,-198.107,200.000,-688.396,0,0,0,0,11,0,184.001
18.800,-198.107,200.000,-684.400,0,0,0,0,11,0,187.997
19.200,-198.107,200.000,-680.392,0,0,0,0,11,0,192.005
19.600,-198.107,200.000,-676.396,0,0,0,0,11,0,196.001
20.000,-198.107,200.000,-672.400,0,0,0,0,11,0,199.998
20.400,-198.107,200.000,-668.392,0,0,0,0,11,0,204.005
20.800,-198.107,200.000,-664.396,0,0,0,0,11,0,208.001
21.200,-198.107,200.000,-660.399,0,0,0,0,11,0,211.998
21.600,-198.107,200.000,-656.392,0,0,0,0,11,0,216.005
22.000,-198.107,200.000,-652.396,0,0,0,0,11,0,220.002
22.400,-198.107,200.000,-648.399,0,0,0,0,11,0,223.998
22.800,-198.107,200.000,-644.403,0,0,0,0,11,0,227.994
23.200,-198.107,200.000,-640.395,0,0,0,0,11,0,232.002
23.600,-198.107,200.000,-636.399,0,0,0,0,11,0,235.998
24.000,-198.107,200.000,-632.402,0,0,0,0,11,0,239.995
24.400,-198.107,200.000,-628.395,0,0,0,0,11,0,244.002
24.800,-198.107,200.000,-624.399,0,0,0,0,11,0,247.999
25.200,-198.107,200.000,-620.402,0,0,0,0,11,0,251.995
25.600,-198.107,200.000,-616.395,0,0,0,0,11,0,256.003
26.000,-198.107,200.000,-612.398,0,0,0,0,11,0,259.999
26.400,-198.107,200.000,-608.402,0,0,0,0,11,0,263.995
26.800,-198.107,200.000,-604.394,0,0,0,0,11,0,268.003
27.200,-198.107,200.000,-600.398,0,0,0,0,11,0,271.999
27.600,-198.107,200.000,-596.402,0,0,0,0,11,0,275.996
28.000,-198.107,200.000,-592.394,0,0,0,0,11,0,280.003
28.400,-198.107,200.000,-588.398,0,0,0,0,11,0,284.000
28.800,-198.107,200.000,-584.401,0,0,0,0,11,0,287.996
29.200,-198.107,200.000,-580.394,0,0,0,0,11,0,292.003
29.600,-198.107,200.000,-576.397,0,0,0,0,11,0,296.000
30.000,-198.107,200.000,-572.401,0,0,0,0,11,0,299.996
30.400,-198.107,200.000,-568.393,0,0,0,0,11,0,304.004
30.800,-198.107,200.000,-564.397,0,0,0,0,11,0,308.000
31.200,-198.107,200.000,-560.401,0,0,0,0,11,0,311.997
31.600,-198.107,200.000,-556.393,0,0,0,0,11,0,316.004
32.000,-198.107,200.000,-552.397,0,0,0,0,11,0,320.000
32.400,-198.107,200.000,-548.400,0,0,0,0,11,0,323.997
32.800,-198.107,200.000,-544.393,0,0,0,0,11,0,328.004
33.200,-198.107,200.000,-540.396,0,0,0,0,11,0,332.001
33.600,-198.107,200.000,-536.400,0,0,0,0,11,0,335.997
34.000,-198.107,200.000,-532.393,0,0,0,0,11,0,340.005
34.400,-198.107,200.000,-528.396,0,0,0,0,11,0,344.001
34.800,-198.107,200.000,-524.400,0,0,0,0,11,0,347.997
35.200,-198.107,200.000,-520.392,0,0,0,0,11,0,352.005
35.600,-198.107,200.000,-516.396,0,0,0,0,11,0,356.001
36.000,-198.107,200.000,-512.399,0,0,0,0,11,0,359.998
36.400,-198.107,200.000,-508.392,0,0,0,0,11,0,364.005
36.800,-198.107,200.000,-504.396,0,0,0,0,11,0,368.002
37.200,-198.107,200.000,-500.399,0,0,0,0,11,0,371.998
37.600,-198.107,200.000,-496.392,0,0,0,0,11,0,376.006
38.000,-198.107,200.000,-492.395,0,0,0,0,11,0,380.002
38.400,-198.107,200.000,-488.399,0,0,0,0,11,0,383.998
38.800,-198.107,200.000,-484.402,0,0,0,0,11,0,387.995
39.200,-198.107,200.000,-480.395,0,0,0,0,11,0,392.002
39.600,-198.107,200.000,-476.399,0,0,0,0,11,0,395.999
40.000,-198.107,200.000,-472.402,0,0,0,0,11,0,399.995
40.400,-198.107,198.700,-468.395,0,0,0,0,11,0,404.003
40.800,-198.107,197.500,-464.398,0,0,0,0,11,0,407.999
41.200,-198.107,196.500,-460.402,0,0,0,0,11,0,411.995
41.600,-198.107,195.700,-456.394,0,0,0,0,11,0,416.003
42.000,-198.107,195.200,-452.398,0,0,0,0,11,0,419.999
42.400,-198.107,195.000,-448.402,0,0,0,0,11,0,423.996
42.800,-198.107,195.200,-444.394,0,0,0,0,11,0,428.003
43.200,-198.107,195.700,-440.398,0,0,0,0,11,0,432.000
43.600,-198.107,196.500,-436.401,0,0,0,0,11,0,435.996
44.000,-198.107,197.500,-432.394,0,0,0,0,11,0,440.003
44.400,-198.107,198.700,-428.397,0,0,0,0,11,0,444.000
44.800,-198.107,200.000,-424.401,0,0,0,0,11,0,447.996
45.200,-197.979,200.000,-420.405,0,0,0,0,11,0,451.995
45.600,-197.723,200.000,-416.408,0,0,0,0,11,0,455.999
46.000,-197.349,200.000,-412.423,0,0,0,0,11,0,460.002
46.400,-196.836,200.000,-408.460,0,0,0,0,11,0,463.998
46.800,-196.206,200.000,-404.508,0,0,0,0,11,0,468.000
47.200,-195.447,200.000,-400.579,0,0,0,0,11,0,472.002
47.600,-194.571,200.000,-396.682,0,0,0,0,11,0,475.996
48.000,-193.567,200.000,-392.808,0,0,0,0,11,0,479.998
48.400,-192.434,200.000,-388.968,0,0,0,0,11,0,484.002
48.800,-191.195,200.000,-385.172,0,0,0,0,11,0,487.995
49.200,-189.827,200.000,-381.409,0,0,0,0,11,0,491.998
49.600,-188.331,200.000,-377.691,0,0,0,0,11,0,496.006
50.000,-186.729,200.000,-374.029,0,0,0,0,11,0,500.004
50.400,-185.009,200.000,-370.422,0,0,0,0,11,0,504.000
50.800,-183.182,200.000,-366.860,0,0,0,0,11,0,508.003
51.200,-181.237,200.000,-363.364,0,0,0,0,11,0,512.003
51.600,-179.186,200.000,-359.936,0,0,0,0,11,0,515.998
