t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-44.026,100.000,-370.373,0,0,0,0,10,0,0.000
0.100,-44.026,100.000,-367.356,0,0,0,0,10,0,3.017
0.200,-44.026,100.000,-364.351,0,0,0,0,10,0,6.022
0.300,-44.026,100.000,-361.334,0,0,0,0,10,0,9.039
0.400,-44.026,100.000,-358.328,0,0,0,0,10,0,12.045
0.500,-44.026,100.000,-355.312,0,0,0,0,10,0,15.062
0.600,-44.026,100.000,-352.306,0,0,0,0,10,0,18.067
0.700,-44.026,100.000,-349.289,0,0,0,0,10,0,21.084
0.800,-44.026,100.000,-346.272,0,0,0,0,10,0,24.101
0.900,-44.026,100.000,-343.267,0,0,0,0,10,0,27.106
1.000,-44.026,100.000,-340.250,0,0,0,0,10,0,30.123
1.100,-44.026,100.000,-337.244,0,0,0,0,10,0,33.129
1.200,-44.026,100.000,-334.228,0,0,0,0,10,0,36.146
1.300,-44.026,100.000,-331.222,0,0,0,0,10,0,39.151
1.400,-44.026,100.000,-328.205,0,0,0,0,10,0,42.168
1.500,-44.026,100.000,-325.188,0,0,0,0,10,0,45.185
1.600,-44.026,100.000,-322.183,0,0,0,0,10,0,48.190
1.700,-44.026,100.000,-319.166,0,0,0,0,10,0,51.207
1.800,-44.026,100.000,-316.160,0,0,0,0,10,0,54.213
1.900,-44.026,100.000,-313.144,0,0,0,0,10,0,57.230
2.000,-44.026,100.000,-310.127,0,0,0,0,10,0,60.246
2.100,-44.026,100.000,-307.121,0,0,0,0,10,0,63.252
2.200,-44.026,100.000,-304.104,0,0,0,0,10,0,66.269
2.300,-44.026,100.000,-301.099,0,0,0,0,10,0,69.274
2.400,-44.026,100.000,-298.082,0,0,0,0,10,0,72.291
2.500,-44.026,100.000,-295.076,0,0,0,0,10,0,75.297
2.600,-44.026,100.000,-292.060,0,0,0,0,10,0,78.314
2.700,-44.026,100.000,-289.043,0,0,0,0,10,0,81.330
2.800,-44.026,100.000,-286.037,0,0,0,0,10,0,84.336
2.900,-44.026,100.000,-283.020,0,0,0,0,10,0,87.353
3.000,-44.026,100.000,-280.015,0,0,0,0,10,0,90.358
3.100,-44.026,100.000,-276.998,0,0,0,0,10,0,93.375
