t,x,y,z,yaw,vx,vy,vz,speed,pos,dist
0.000,-179.705,100.000,0.000,0,0,0,0,10,0,0.000
0.100,-179.669,100.000,1.881,0,0,0,0,10,0,1.882
0.200,-179.580,100.000,3.763,0,0,0,0,10,0,3.765
0.300,-179.438,100.000,5.644,0,0,0,0,10,0,5.652
0.400,-179.225,100.000,7.514,0,0,0,0,10,0,7.534
0.500,-178.967,100.000,9.384,0,0,0,0,10,0,9.422
0.600,-178.638,100.000,11.232,0,0,0,0,10,0,11.299
0.700,-178.255,100.000,13.080,0,0,0,0,10,0,13.186
0.800,-177.820,100.000,14.906,0,0,0,0,10,0,15.063
0.900,-177.331,100.000,16.720,0,0,0,0,10,0,16.942
1.000,-176.780,100.000,18.513,0,0,0,0,10,0,18.817
1.100,-176.175,100.000,20.283,0,0,0,0,10,0,20.688
1.200,-175.517,100.000,22.041,0,0,0,0,10,0,22.565
1.300,-174.806,100.000,23.767,0,0,0,0,10,0,24.432
1.400,-174.050,100.000,25.470,0,0,0,0,10,0,26.295
1.500,-173.241,100.000,27.151,0,0,0,0,10,0,28.161
1.600,-172.379,100.000,28.798,0,0,0,0,10,0,30.020
1.700,-171.472,100.000,30.413,0,0,0,0,10,0,31.872
1.800,-170.512,100.000,32.004,0,0,0,0,10,0,33.731
1.900,-169.516,100.000,33.563,0,0,0,0,10,0,35.580
2.000,-168.467,100.000,35.088,0,0,0,0,10,0,37.431
2.100,-167.383,100.000,36.580,0,0,0,0,10,0,39.275
2.200,-166.262,100.000,38.038,0,0,0,0,10,0,41.114
2.300,-165.098,100.000,39.452,0,0,0,0,10,0,42.946
2.400,-163.889,100.000,40.832,0,0,0,0,10,0,44.781
2.500,-162.653,100.000,42.179,0,0,0,0,10,0,46.609
2.600,-161.381,100.000,43.482,0,0,0,0,10,0,48.429
2.700,-160.075,100.000,44.740,0,0,0,0,10,0,50.243
2.800,-158.732,100.000,45.964,0,0,0,0,10,0,52.060
